# Adami+18 (https://ui.adsabs.harvard.edu/abs/2018A%26A...620A...5A/abstract)
# http://cosmosdb.iasf-milano.inaf.it/XXL/
#
# XXL Database
# File    : .txt.gz
# Date    : 2020-11-03 18:58
# Table   : XXL_365_GC
# Columns : 28
# Rows    : 365
# SQL     : SELECT XXL_365_GC.identifier, XXL_365_GC.xlssc, XXL_365_GC.
#           ra, XXL_365_GC.decl, XXL_365_GC.z, XXL_365_GC.ngal, XXL_365
#           _GC.class, XXL_365_GC.Mgas500kpc, XXL_365_GC.Mgas500kpc_m, 
#           XXL_365_GC.Mgas500kpc_p, XXL_365_GC.r500mt, XXL_365_GC.T300
#           kpc, XXL_365_GC.T300kpc_m, XXL_365_GC.T300kpc_p, XXL_365_GC
#           .LXXL500MT, XXL_365_GC.LXXL500MT_err, XXL_365_GC.f60, XXL_3
#           65_GC.f60_err, XXL_365_GC.flag, XXL_365_GC.tab, XXL_365_GC.
#           T300kpcscal , XXL_365_GC.T300kpcscal_err, XXL_365_GC.r500sc
#           al, XXL_365_GC.r500scal_err, XXL_365_GC.M500scal, XXL_365_G
#           C.M500scal_err, XXL_365_GC.Lbol500scal, XXL_365_GC.Lbol500s
#           cal_err FROM XXL_365_GC
# identifier	xlssc	ra	decl	z	ngal	class	Mgas500kpc	Mgas500kpc_m	Mgas500kpc_p	r500mt	T300kpc	T300kpc_m	T300kpc_p	LXXL500MT	LXXL500MT_err	f60	f60_err	flag	tab	T300kpcscal	T300kpcscal_err	r500scal	r500scal_err	M500scal	M500scal_err	Lbol500scal	Lbol500scal_err
# VARCHAR	INTEGER	DOUBLE	DOUBLE	FLOAT	INTEGER	INTEGER	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	FLOAT	FLOAT	CHAR	CHAR	FLOAT	FLOAT	FLOAT	FLOAT	DOUBLE	DOUBLE	DOUBLE	DOUBLE
# --	--	deg	deg		--	--	1E11 solar mass	1E11 solar mass	1E11 solar mass	kpc	keV	keV	keV	1E42 erg/s	1E42 erg/s	1E-15 erg/cm2/s	1E-15 erg/cm2/s	--	--	keV	keV	kpc	kpc	1E13 solar mass	1E13 solar mass	1E42 erg/s	1E42 erg/s
XLSSC 618	618	351.638	-56.518	0.169	6	1	  8.20	 -2.12	  2.07	481	1.04	-0.07	0.06	  2.63	  0.16	25	3	l	5	1.48	0.13	582.	 50.	  6.49	  1.67	 11.00	  1.29
XLSSC 595	595	351.691	-53.812	0.213	3	1	 22.39	 -4.21	  2.25	451	0.96	-0.08	0.08	  3.95	  0.46	25	2	l	5	1.70	0.14	617.	 53.	  8.09	  2.09	 17.00	  1.71
XLSSC 533	533	351.712	-52.694	0.107	3	1	 54.70	 -0.84	  0.89	746	2.17	-0.07	0.19	 21.43	  0.90	181	6	+,l	5	3.01	0.18	896.	 81.	 22.30	  6.07	 71.00	  1.71
XLSSC 586	586	351.848	-55.066	0.209	6	1	 20.46	 -3.38	  2.44	567	1.45	-0.19	0.17	  4.61	  0.58	28	3	l	5	1.61	0.14	599.	 52.	  7.37	  1.92	 15.00	  1.64
XLSSC 504	504	351.930	-52.425	0.351	2	1	 29.20	 -6.83	 14.23	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	51	7	+,l	5	3.06	0.32	797.	 82.	 20.20	  6.23	 89.00	 16.50
XLSSC 635	635	352.038	-53.418	0.172	2	2	 -1.00	 -1.00	 -1.00	1140	2.16	-0.31	0.32	  1.63	  0.25	8	3		5	0.91	0.16	443.	 53.	  2.87	  1.03	  3.10	  1.23
XLSSC 583	583	352.040	-55.838	0.800	3	1	 70.44	 -8.26	  7.85	797	4.85	-0.85	0.93	 87.67	 12.59	22	3	l	5	3.86	0.57	703.	 87.	 23.20	  8.58	240.00	 26.50
XLSSC 621	621	352.145	-53.821	0.870	1	1	 80.17	 -7.92	  8.10	519	2.41	-0.42	0.45	 84.06	 12.98	19	3	l	5	3.70	0.60	658.	 84.	 20.70	  7.90	230.00	 29.40
XLSSC 521	521	352.179	-55.567	0.807	1	1	156.42	 -8.41	  8.50	701	3.88	-0.63	0.58	183.68	 25.08	67	5	+,l	5	5.16	0.78	824.	108.	 37.60	 14.80	520.00	 54.30
XLSSC 550	550	352.206	-52.577	0.108	7	1	 21.06	 -1.51	  1.36	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	88	11	l	5	1.45	0.18	593.	 59.	  6.47	  1.93	 10.00	  2.75
XLSSC 622	622	352.241	-53.665	0.276	9	2	 -1.00	 -1.00	 -1.00	898	1.50	-0.17	0.31	 11.36	  1.83	20	9	l	5	2.03	0.19	659.	 60.	 10.50	  2.89	 28.00	  4.04
XLSSC 505	505	352.250	-52.238	0.055	3	1	 18.67	 -1.01	  1.01	649	1.62	-0.10	0.11	  4.21	  0.34	192	10	+,l	5	1.71	0.12	666.	 55.	  8.75	  2.18	 15.00	  0.99
XLSSC 590	590	352.250	-54.246	0.101	10	2	  1.98	 -1.06	  1.29	571	0.60	-0.06	0.07	  0.76	  0.10	11	3		5	0.73	0.13	405.	 48.	  2.05	  0.73	  1.70	  0.62
XLSSC 506	506	352.315	-52.497	0.717	6	1	 87.47	 -6.89	  6.58	534	2.17	-0.39	0.44	 90.10	 17.36	30	6	+,l	5	4.05	0.61	758.	 95.	 26.30	  9.88	250.00	 51.20
XLSSC 581	581	352.416	-54.789	0.138	3	1	  3.65	 -1.10	  1.73	394	0.71	-0.09	0.08	  1.64	  0.19	21	4	l,F	5	0.85	0.15	433.	 54.	  2.60	  0.96	  2.60	  1.06
XLSSC 546	546	352.416	-53.249	0.792	2	1	 85.83	 -5.71	  6.17	602	2.91	-0.50	0.45	105.43	 13.12	37	3	+,l	5	4.53	0.67	773.	 98.	 30.50	 11.60	360.00	 35.50
XLSSC 512	512	352.484	-56.136	0.403	4	1	 61.71	 -2.23	  2.28	791	3.18	-0.48	0.44	 25.74	  2.59	32	2	+,l	5	2.85	0.25	744.	 72.	 17.40	  5.04	 77.00	  5.24
XLSSC 520	520	352.502	-54.619	0.175	9	1	 43.14	 -1.36	  1.49	755	2.35	-0.19	0.23	 20.87	  1.09	127	4	+,l,F	5	2.94	0.19	854.	 78.	 20.70	  5.64	 70.00	  2.43
XLSSC 574	574	352.513	-54.243	0.386	2	2	 43.66	 -4.34	  3.73	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	15	3	l	5	2.13	0.23	638.	 63.	 10.80	  3.18	 35.00	  6.60
XLSSC 619	619	352.529	-56.611	0.490	3	2	 21.53	-14.80	 10.38	974	2.00	-0.38	0.47	 12.86	  3.06	16	4	l	5	2.08	0.29	594.	 65.	  9.78	  3.20	 36.00	  9.45
XLSSC 626	626	352.606	-53.001	0.527	1	2	 45.30	 -6.63	  5.83	836	1.56	-0.24	0.32	 18.58	  3.77	15	3	l	5	2.43	0.30	634.	 67.	 12.40	  3.92	 56.00	 10.40
XLSSC 582	582	352.610	-54.784	0.406	2	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	6	5	F	5	0.96	0.35	402.	 88.	  2.76	  1.81	  4.30	  4.01
XLSSC 623	623	352.641	-53.543	0.171	9	1	 20.90	 -1.92	  1.67	560	1.37	-0.09	0.21	  3.14	  0.45	13	3	l	5	1.16	0.14	507.	 49.	  4.31	  1.24	  5.90	  1.33
XLSSC 588	588	352.659	-55.727	0.273	2	1	 39.65	 -3.08	  2.78	654	1.99	-0.25	0.28	  5.86	  0.95	21	3	l	5	1.65	0.18	588.	 55.	  7.45	  2.11	 16.00	  3.23
XLSSC 596	596	352.678	-53.057	0.678	1	1	 62.93	 -8.92	  7.95	649	2.95	-0.48	0.57	 82.05	 12.44	24	3	l	5	3.30	0.45	691.	 79.	 19.10	  6.58	140.00	 21.20
XLSSC 620	620	352.871	-56.468	0.173	6	2	  2.73	 -1.06	  2.29	692	0.88	-0.05	0.05	  2.07	  0.13	9	2		5	1.16	0.13	506.	 47.	  4.29	  1.20	  5.90	  1.14
XLSSC 625	625	352.880	-53.185	0.334	4	1	 33.61	 -3.58	  3.32	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	14	3	l	5	1.69	0.22	575.	 59.	  7.46	  2.31	 18.00	  4.83
XLSSC 532	532	352.948	-52.669	0.392	7	1	 65.38	 -2.57	  2.47	746	2.83	-0.50	0.51	 29.41	  3.74	49	3	+,l	5	3.32	0.29	816.	 81.	 22.70	  6.76	110.00	  8.47
XLSSC 624	624	352.965	-53.113	0.382	5	2	 32.22	 -4.43	  3.62	763	1.20	-0.22	0.24	  5.37	  1.10	11	2		5	1.42	0.21	509.	 56.	  5.43	  1.79	 12.00	  3.74
XLSSC 519	519	353.019	-55.212	0.270	3	1	 36.66	 -4.83	  3.66	526	1.34	-0.12	0.19	 10.51	  1.46	41	5	+,l	5	2.23	0.20	697.	 64.	 12.40	  3.44	 36.00	  5.27
XLSSC 524	524	353.067	-54.702	0.270	8	1	 45.72	 -3.35	  2.94	717	2.34	-0.31	0.32	 12.78	  1.32	34	3	+,l	5	2.21	0.18	693.	 62.	 12.20	  3.27	 35.00	  3.54
XLSSC 610	610	353.104	-56.045	0.275	6	1	 22.86	 -3.88	  3.33	507	1.26	-0.14	0.19	  3.93	  0.56	22	3	l	5	1.75	0.16	605.	 55.	  8.16	  2.21	 19.00	  2.69
XLSSC 589	589	353.109	-55.784	0.066	2	2	  3.61	 -2.63	  3.86	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	13	4	l	5	0.41	0.18	296.	 76.	  0.77	  0.59	  0.35	  0.38
XLSSC 542	542	353.113	-53.976	0.400	4	1	234.92	 -1.76	  1.84	1228	6.97	-0.55	0.74	494.67	 21.07	468	9	+,l	5	8.65	0.89	1393.	181.	114.00	 44.40	1500.00	 37.50
XLSSC 561	561	353.138	-52.338	0.455	4	2	 67.40	 -5.06	  4.96	993	2.02	-0.32	0.33	 24.84	  4.91	29	5	l	5	2.83	0.31	720.	 75.	 16.70	  5.19	 79.00	 13.40
XLSSC 507	507	353.374	-52.252	0.566	6	1	 90.90	 -6.03	  5.69	564	2.04	-0.29	0.44	 38.80	  5.52	39	5	+,l	5	3.36	0.41	745.	 83.	 21.00	  7.00	140.00	 22.20
XLSSC 608	608	353.384	-54.012	0.212	9	1	 17.49	 -3.62	  3.55	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	30	5	l	5	1.68	0.19	611.	 59.	  7.86	  2.28	 16.00	  3.69
XLSSC 571	571	353.442	-55.640	0.726	1	2	 75.91	 -8.45	  6.21	1107	2.96	-0.45	0.48	 48.47	  7.63	17	3	l	5	2.85	0.42	618.	 72.	 14.50	  5.08	100.00	 18.40
XLSSC 641	641	353.503	-52.581	0.455	1	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	4	3		5	1.40	0.30	484.	 67.	  5.09	  2.13	 12.00	  6.08
XLSSC 549	549	353.515	-53.141	0.808	3	1	104.04	 -4.63	  4.40	659	3.48	-0.62	0.70	 96.31	 16.17	33	4	+,l	5	4.13	0.63	726.	 91.	 25.80	  9.74	290.00	 34.50
XLSSC 572	572	353.524	-55.785	0.727	1	2	 -1.00	 -1.00	 -1.00	1201	3.43	-0.60	0.62	 21.06	  3.55	7	4		5	2.03	0.33	511.	 61.	  8.17	  2.91	 41.00	 10.30
XLSSC 614	614	353.587	-54.178	0.322	5	2	 46.52	 -4.14	  4.00	1577	4.25	-0.28	0.23	 11.99	  0.77	17	4	l	5	1.82	0.22	604.	 61.	  8.52	  2.59	 22.00	  5.48
XLSSC 573	573	353.623	-54.608	0.384	2	1	 41.34	 -3.17	  2.96	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	20	3	l	5	2.21	0.22	651.	 62.	 11.40	  3.26	 38.00	  5.36
XLSSC 585	585	353.696	-55.274	0.324	4	1	 34.33	 -5.06	  4.00	483	1.21	-0.16	0.11	  4.91	  0.69	21	3	l	5	1.85	0.19	610.	 57.	  8.79	  2.48	 23.00	  4.00
XLSSC 629	629	353.928	-54.349	0.173	4	1	  1.41	 -0.79	  1.26	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	12	3	F	5	0.88	0.19	434.	 61.	  2.71	  1.14	  2.90	  1.48
XLSSC 628	628	353.947	-53.876	0.515	2	2	 36.98	-10.52	  8.03	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	11	3		5	2.13	0.26	593.	 61.	 10.00	  3.10	 39.00	  7.27
XLSSC 537	537	354.029	-53.876	0.515	12	1	 93.42	 -4.74	  4.26	706	2.90	-0.37	0.40	 69.24	  8.69	55	4	+,l	5	4.00	0.42	846.	 92.	 29.10	  9.48	210.00	 16.20
XLSSC 562	562	354.153	-52.738	0.536	4	1	 72.19	 -5.08	  4.92	699	2.91	-0.67	0.74	 26.78	  4.28	28	5	l	5	2.78	0.38	681.	 77.	 15.50	  5.24	 81.00	 19.50
XLSSC 548	548	354.193	-53.793	0.323	4	1	 43.14	 -4.95	  4.67	558	1.57	-0.20	0.30	  6.19	  0.83	31	4	+,l	5	2.02	0.20	640.	 60.	 10.10	  2.87	 29.00	  4.76
XLSSC 632	632	354.207	-53.960	0.322	4	1	 18.73	 -4.50	  4.11	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	13	3	l	5	1.47	0.22	536.	 59.	  5.94	  1.95	 12.00	  4.00
XLSSC 639	639	354.262	-56.082	0.466	1	2	 47.56	 -3.28	  3.10	790	1.35	-0.06	0.34	 20.46	  3.22	18	3	l	5	2.42	0.26	655.	 65.	 12.70	  3.80	 52.00	  7.48
XLSSC 638	638	354.365	-56.070	0.700	1	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	3		5	1.74	0.34	476.	 62.	  6.41	  2.52	 27.00	 10.10
XLSSC 599	599	354.424	-53.136	0.315	3	1	 32.53	 -2.84	  2.62	543	1.48	-0.14	0.20	 10.77	  1.55	24	3	l	5	2.00	0.18	639.	 58.	 10.00	  2.71	 28.00	  3.20
XLSSC 609	609	354.575	-55.660	0.465	2	2	 57.72	 -3.79	  3.53	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	23	3	l	5	2.54	0.28	673.	 68.	 13.80	  4.20	 59.00	  9.41
XLSSC 538	538	354.646	-54.623	0.332	4	1	 46.85	 -3.21	  2.87	638	2.01	-0.26	0.29	 13.71	  1.60	34	3	+,l	5	2.57	0.21	730.	 68.	 15.20	  4.23	 55.00	  4.79
XLSSC 543	543	354.863	-55.843	0.384	3	1	 60.63	 -2.41	  1.87	663	2.27	-0.31	0.45	 12.78	  1.70	34	4	+,l	5	2.94	0.26	766.	 74.	 18.60	  5.40	 82.00	  6.93
XLSSC 631	631	354.969	-54.082	0.387	3	2	 20.04	 -6.46	  6.44	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	16	4	l	5	1.97	0.26	610.	 64.	  9.43	  2.97	 29.00	  7.49
XLSSC 604	604	354.976	-56.254	0.381	1	1	 20.39	 -5.76	  5.03	589	1.83	-0.32	0.35	  8.04	  1.31	14	3	l,F	5	1.95	0.21	608.	 58.	  9.27	  2.66	 28.00	  4.62
XLSSC 600	600	355.112	-53.912	0.168	5	1	  9.75	 -5.21	  3.78	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	12	3		5	1.27	0.15	533.	 51.	  5.00	  1.43	  7.50	  1.67
XLSSC 601	601	355.227	-55.715	0.169	4	2	 12.87	 -2.31	  2.05	751	1.02	-0.10	0.13	  2.27	  0.31	22	4	l	5	1.26	0.15	532.	 52.	  4.98	  1.46	  7.40	  1.83
XLSSC 606	606	355.334	-56.066	0.425	2	2	 21.40	 -8.38	  7.19	1346	3.42	-0.71	0.73	 10.45	  2.06	12	3		5	1.73	0.25	555.	 60.	  7.41	  2.42	 21.00	  6.10
XLSSC 541	541	355.431	-55.965	0.187	11	1	 52.82	 -1.99	  2.16	771	2.47	-0.29	0.22	 14.68	  1.33	68	4	+,l	5	2.61	0.18	795.	 71.	 16.90	  4.52	 52.00	  2.98
XLSSC 551	551	355.444	-56.675	0.475	4	1	 70.39	 -4.73	  4.42	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	47	6	l	5	3.34	0.38	782.	 84.	 21.90	  7.07	120.00	 21.40
XLSSC 508	508	355.465	-53.145	0.539	2	2	 92.78	 -4.68	  4.79	1132	2.71	-0.40	0.47	 51.31	  6.12	98	5	+,l	5	3.07	0.34	718.	 75.	 18.30	  5.73	100.00	 11.10
XLSSC 605	605	355.533	-56.327	0.414	6	2	 -1.00	 -1.00	 -1.00	1467	3.96	-1.03	0.81	  6.44	  1.35	8	8		5	1.46	0.24	508.	 59.	  5.59	  1.95	 13.00	  4.68
XLSSC 633	633	355.593	-54.242	0.192	9	2	  3.28	 -1.12	  2.63	879	1.37	-0.20	0.25	  3.02	  0.58	16	3	l	5	1.26	0.16	525.	 52.	  4.87	  1.46	  7.40	  1.94
XLSSC 540	540	355.632	-56.353	0.414	9	1	 67.88	 -4.65	  4.37	731	2.79	-0.34	0.43	 50.69	  4.35	65	4	+,l	5	3.88	0.35	880.	 91.	 29.20	  9.09	180.00	 11.30
XLSSC 563	563	355.686	-53.254	0.319	2	2	 13.43	 -8.17	 10.09	1020	1.94	-0.31	0.41	  9.91	  2.06	16	4	l	5	1.86	0.20	613.	 58.	  8.86	  2.53	 23.00	  4.34
XLSSC 634	634	355.691	-54.185	1.075	11	2	153.14	-10.23	 10.97	1234	4.56	-0.75	0.90	623.11	100.83	48	6	l	5	6.24	1.22	787.	120.	 44.50	 20.30	1100.00	120.00
XLSSC 539	539	355.797	-55.881	0.183	10	1	 27.13	 -2.26	  2.16	510	1.17	-0.11	0.09	  6.53	  0.76	38	4	+,*,l	5	1.83	0.15	652.	 57.	  9.29	  2.45	 20.00	  2.57
XLSSC 607	607	356.201	-56.288	0.605	1	2	 70.73	 -3.50	  3.43	1188	3.09	-0.63	0.62	 37.89	  5.46	23	3	l	5	2.73	0.36	648.	 71.	 14.50	  4.78	 81.00	 14.80
XLSSC 568	568	356.363	-54.716	0.133	1	2	  5.20	 -3.58	  3.10	1331	2.79	-0.20	0.19	  3.26	  0.22	16	4	l	5	1.22	0.15	530.	 52.	  4.75	  1.39	  6.60	  1.59
XLSSC 509	509	356.461	-54.044	0.633	12	1	 84.13	 -4.43	  4.29	656	2.87	-0.47	0.46	 73.24	  9.42	37	4	+,l	5	3.86	0.48	775.	 89.	 25.50	  8.77	210.00	 24.10
XLSSC 602	602	356.771	-55.629	0.391	5	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	5	10		5	1.63	0.43	547.	 91.	  6.82	  3.40	 17.00	 11.50
XLSSC 566	566	357.008	-53.656	0.634	1	2	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	6	F	5	1.14	0.51	388.	101.	  3.22	  2.52	  8.10	  9.19
XLSSC 603	603	357.025	-56.021	0.427	3	1	 84.11	 -4.49	  3.80	686	2.52	-0.41	0.54	 37.95	  6.52	15	5	l	5	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 564	564	357.079	-53.395	0.981	1	2	 79.52	-15.49	 10.86	1085	3.41	-0.73	0.79	 83.70	 15.03	9	3	F	5	3.12	0.59	562.	 76.	 14.60	  5.94	160.00	 32.70
XLSSC 567	567	357.222	-53.823	0.254	5	1	 28.33	 -4.13	  2.79	659	1.98	-0.29	0.27	  4.54	  0.79	14	3	l,F	5	1.50	0.15	562.	 51.	  6.39	  1.75	 13.00	  2.14
XLSSC 565	565	357.339	-53.506	0.168	3	2	 13.14	 -2.38	  1.94	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	21	3	l,F	5	1.30	0.12	541.	 47.	  5.21	  1.36	  8.00	  1.04
XLSSC 637	637	357.380	-55.496	0.541	2	2	 -1.00	 -1.00	 -1.00	1695	5.60	-1.15	1.38	 22.94	  4.22	10	4		5	1.98	0.30	561.	 64.	  8.74	  2.97	 33.00	  9.43
XLSSC 569	569	357.455	-55.115	0.131	2	2	  1.68	 -0.46	  0.72	584	0.63	-0.07	0.10	  1.03	  0.14	15	3	l	5	0.85	0.12	433.	 46.	  2.58	  0.82	  2.50	  0.71
XLSSC 510	510	357.539	-55.334	0.394	2	1	 41.55	 -3.54	  3.30	653	2.23	-0.26	0.31	 26.06	  2.33	39	3	+,l	5	2.94	0.26	761.	 74.	 18.40	  5.36	 83.00	  6.60
XLSSC 570	570	357.679	-55.345	0.130	3	2	 -1.00	 -1.00	 -1.00	1021	1.73	-0.22	0.28	  2.35	  0.33	10	4		5	1.14	0.11	513.	 46.	  4.29	  1.14	  5.60	  0.83
XLSSC 511	511	357.753	-55.371	0.131	4	1	 23.37	 -1.40	  1.36	580	1.41	-0.19	0.16	  3.10	  0.43	35	3	+,l	5	1.63	0.12	626.	 52.	  7.81	  1.96	 14.00	  1.07
XLSSC 164	164	30.415	-5.050	0.811	5	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	28	9	l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 118	118	33.692	-3.941	0.140	1	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	776	15	l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 066	066	34.476	-5.450	0.250	8	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	9	2	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 063	063	34.654	-5.674	0.276	3	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	31	5	+,l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 136	136	34.800	-3.749	0.766	7	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	28	4	l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 119	119	35.366	-4.570	0.158	9	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	5	2		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 034	034	35.372	-4.099	1.036	2	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	21	9	l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 126	126	35.424	-4.454	0.290	2	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	2		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 134	134	35.515	-5.737	0.744	2	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	25	7	l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 132	132	35.593	-4.888	0.377	2	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	4	2		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 120	120	35.718	-4.280	0.229	3	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	6	2		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 024	024	35.744	-4.121	0.291	10	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	9	2	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 046	046	35.763	-4.606	1.217	10	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	2	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 026	026	35.925	-4.514	0.435	5	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	12	2	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 015	015	35.926	-5.034	0.858	6	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	3	6		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 143	143	35.960	-5.610	0.498	1	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	14	3	l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 007	007	36.025	-3.921	0.559	5	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	11	3	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 019	019	36.049	-5.380	0.496	5	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	1	3		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 133	133	36.069	-5.058	0.152	5	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	7	2		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 053	053	36.112	-4.832	0.495	5	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	12	3		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 131	131	36.173	-4.219	0.513	3	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	3	2		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 037	037	36.288	-4.552	0.767	4	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	2	2	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 043	043	36.293	-4.030	0.172	13	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	10	3	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 042	042	36.345	-4.447	0.463	6	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	6	2	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 045	045	36.369	-4.261	0.556	4	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	17	5	+,l	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 004	004	36.376	-5.120	0.291	11	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	2	3	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 068	068	36.426	-4.411	0.585	4	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	2	2	+	G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
XLSSC 129	129	36.446	-3.167	0.329	4	3	 -1.00	 -1.00	 -1.00	-1	-1.00	-1.00	-1.00	 -1.00	 -1.00	10	44		G1	0.00	0.00	  0.	  0.	  0.00	  0.00	  0.00	  0.00
